LECROYWM808Zi-B,75153,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,31-Aug-2022 12:18:10,0                 
Time,Ampl
0.1222,0
0.1232,0
0.1242,0
0.1252,0
0.1262,0
0.1272,0
0.1282,0
0.1292,0
0.1302,0
0.1312,0
0.1322,0
0.1332,0
0.1342,0
0.1352,0
0.1362,0
0.1372,0
0.1382,4
0.1392,14
0.1402,25
0.1412,68
0.1422,75
0.1432,118
0.1442,158
0.1452,202
0.1462,228
0.1472,244
0.1482,290
0.1492,286
0.1502,317
0.1512,284
0.1522,280
0.1532,225
0.1542,248
0.1552,176
0.1562,123
0.1572,96
0.1582,87
0.1592,55
0.1602,32
0.1612,31
0.1622,17
0.1632,23
0.1642,9
0.1652,13
0.1662,6
0.1672,5
0.1682,3
0.1692,3
0.1702,5
0.1712,1
0.1722,2
0.1732,1
0.1742,7
0.1752,8
0.1762,30
0.1772,34
0.1782,53
0.1792,82
0.1802,116
0.1812,119
0.1822,178
0.1832,173
0.1842,210
0.1852,265
0.1862,289
0.1872,291
0.1882,346
0.1892,351
0.1902,279
0.1912,276
0.1922,210
0.1932,199
0.1942,166
0.1952,124
0.1962,70
0.1972,91
0.1982,54
0.1992,61
0.2002,48
0.2012,26
0.2022,28
0.2032,18
0.2042,8
0.2052,4
0.2062,5
0.2072,1
0.2082,2
0.2092,0
0.2102,2
0.2112,0
0.2122,1
0.2132,0
0.2142,1
0.2152,2
0.2162,1
0.2172,0
0.2182,1
0.2192,1
0.2202,0
0.2212,0
